douban_id,title,rating,director_description,tags,years,country,cover_image
36787730,万物生灵：2024圣诞特别集,9.5,安迪·海伊,剧情,2024,英国,
36832842,坂本龙一：最后的日子‎,9.5,NHK,纪录片,2024,日本,
36888563,皇后乐队蒙特利尔现场演唱会,9.4,索尔·斯威默,纪录片|音乐,2024,英国 美国,
36742797,中东大宝荐2：迦南孤儿,9.3,张竣,纪录片|真人秀,2024,中国大陆,
36713577,ANOTHER SIDE …… JOEY · MY SECRET · LIVE,9.3,彭秀慧,纪录片|音乐|真人秀,2024,中国香港,
36675987,黑箱日记,9.2,伊藤诗织,纪录片,2024,美国 英国 日本,
37014543,进击的巨人 总集篇 最后的进击,9.2,林祐一郎,动作|动画|奇幻,2024,日本,
36720554,流行乐最传奇一夜,9.2,阮包,纪录片|音乐,2024,美国,
36886162,Lady Gaga：神彩巡回演唱会,9.2,Lady Gaga,音乐|真人秀,2024,美国,
26656728,泳者之心,9.0,乔阿吉姆·罗恩尼,剧情|传记|运动,2024,美国,
37113496,宇多田光SCIENCE FICTION 2024巡回演唱会,9.0,宇多田光,纪录片|音乐|歌舞,2024,日本,
36778967,青春王室：幕后花絮,9.0,Jens von Reis,纪录片,2024,瑞典,
36731273,最后生还者第二部制作特辑,9.0,Naughty Dog PlayStation,纪录片,2024,美国,
36154853,好东西,8.9,邵艺辉,剧情|爱情,2024,中国大陆,
37061366,奥利维亚·罗德里戈：GUTS 世界巡演全纪录,8.9,詹姆斯·B·梅里曼,纪录片|音乐,2024,美国,
36782674,动机与提示,8.9,萨姆·门德斯,剧情|戏曲,2024,英国,
37165729,拉里·迪恩：大聪明,8.9,Mason Stade,喜剧,2024,英国,
36811224,周六夜现场：瑞恩·高斯林/Chris Stapleton,8.9,瑞恩·高斯林 克里斯·斯台普顿,喜剧|音乐|脱口秀,2024,美国,
36912437,奶奶,8.9,艾达·杜米特鲁 安娜·伊内尼,喜剧|短片,2024,罗马尼亚,
36328210,姥姥的外孙,8.8,帕特·波尼蒂帕特,剧情,2024,泰国,
36587974,出走的决心,8.8,尹丽川,剧情|家庭,2024,中国大陆,
36233343,流浪地球2：再次冒险,8.8,郭思文,纪录片,2024,中国大陆,
36642389,万尼亚,8.8,山姆·耶茨,剧情,2024,英国,
36862879,假面骑士歌查德 Ver. 罗密欧与茱丽叶【完整版】,8.8,山口恭平,剧情|爱情,2024,日本,
36790584,摔角狂热 40,8.8,道恩·强森 罗曼·雷恩斯,动作|运动|真人秀,2024,美国,
36877082,美丽的伤疤,8.8,拉斐尔·若佐,动画|短片,2024,法国,
36741544,没有她们的星球,8.8,法拉赫娜兹·谢里菲,纪录片,2024,德国 伊朗,
37030136,南洋大宝荐×话饼：菲律宾篇,8.7,张竣,纪录片,2024,中国大陆,
36897587,Burning Sun：揭露韩流明星聊天室里的秘密,8.7,Kai Lawrence,纪录片,2024,英国,
36822614,宫崎骏与苍鹭,8.7,荒川格,纪录片,2024,日本,
36934908,因果报应,8.6,尼蒂兰·萨米纳坦,动作|悬疑|犯罪,2024,印度,
36950178,地球脉动：极境生存,8.6,阿比盖尔·利斯,纪录片,2024,英国,
36713656,2024年维也纳新年音乐会,8.6,Daniel Froschauer,音乐,2024,奥地利,
35883131,雄狮少年2,8.5,孙海鹏,喜剧|动作|动画,2024,中国大陆,
36912869,何以当归,8.5,张竣,纪录片,2024,中国大陆,
37149451,美洲大宝荐：你好美国‎,8.5,张竣,纪录片,2024,中国大陆,
36766358,看我今天怎么说,8.5,黄修平,剧情,2024,中国香港,
36859771,电音奇才艾维奇：蒂姆原色,8.5,Henrik Burman,纪录片|传记,2024,瑞典 美国,
36678128,弗里达,8.5,卡拉·古铁雷斯,纪录片|传记,2024,美国,
36394802,配乐大师：约翰·威廉姆斯,8.5,洛朗·布泽罗,纪录片|音乐|传记,2024,美国,
